GaussianMixture(n_components=3),KMeans(n_clusters=2),"SpectralClustering(affinity='nearest_neighbors', n_clusters=2, random_state=0)",AgglomerativeClustering()
0.00321343744789869,0.00013535573452994054,4.293473660971214e-05,0.00011117954460460044
0.013488160036009209,6.951625245998905e-07,2.9521149753283793e-05,4.710459836919367e-05
0.016592456587516083,0.000923660967826867,0.0010677723880846146,0.0022361398179850944
0.006008479386325524,0.0015373403999275892,0.0009343295423101389,0.001541676500964012
0.003262558416151709,5.7458371885033e-05,4.631498948419466e-05,0.0002531542315115376
0.0006285042912247962,0.00019132562989751523,0.00023634849276185643,0.00010026940441423826
0.0064145762522125616,0.00373007169379197,0.002714815175732424,0.0031687385608691054
0.0023479358681401247,0.0007970056840614914,7.80425982285643e-05,0.00025386676656352636
0.017777372825142482,0.0011531224802803774,0.0017612820805381485,0.0011439405675302966
0.00040345513567216496,0.0003235527363436713,0.00013382567219426267,0.0002856311877434681
0.004386118307495329,0.001034884829014246,0.0011455387515280496,0.0009060973105918801
0.002271137678245036,0.0013964789854487153,0.0015459875296986308,0.0014280026149450509
0.0007521558728830618,2.5386497063420443e-05,2.5386497063420443e-05,9.244832206867226e-05
0.002373028466516741,0.0011830659321442338,0.0006353099513097538,0.00015286235105413382
0.0007891076866377161,0.0006461792391602578,0.0006461792391602578,0.0002715153627752126
0.004237649961453482,4.0242040504470666e-05,2.446970484194788e-05,2.2904393630562847e-05
0.0008996265398636127,0.00013515462402707845,1.3918799585121988e-09,0.00010155295999328406
0.0025486587624694718,1.6826401053812723e-05,4.242100134568827e-06,3.0116473484637085e-05
0.0018678740107514608,4.113758712412374e-05,0.0002199164425650546,7.5471220749454e-05
0.0010508539017998891,0.00016225813242183584,0.00026398683542676327,0.00039070437995492036
